GameID,TurnCount,,Epsilon,AverageLoss,cities,cities,settlements,road,longest,largest,devvps,resource_production,total_resource_production,total_resources_gained,amount_of_resources_used,seven_robbers_moved,knights_and_robbers_moved,total_robber_gain,total_resources_lost,total_resources_discarded,dev_cards_held,dev_cards_held_total,dev_cards_used,dev_cards_used_total,dev_cards_bought_total
2826,228,"[RandomPlayer:WHITE, Player:BLUE, RandomPlayer:ORANGE, RandomPlayer:RED]",0.33613799999000643,5778445.551853087,5,1,2,15,FALSE,FALSE,1,"{'WOOD': 0.3055555555555556, 'BRICK': 0.1111111111111111, 'SHEEP': 0, 'WHEAT': 0.1111111111111111, 'ORE': 0.25}",0.7777777777777778,144,41,8,9,4,56,45,"{'KNIGHT': 0, 'VP': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,"{'KNIGHT': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,2
2827,317,"[Player:BLUE, RandomPlayer:ORANGE, RandomPlayer:WHITE, RandomPlayer:RED]",0.3359219999900122,5118872.237685592,3,1,1,5,FALSE,FALSE,0,"{'WOOD': 0, 'BRICK': 0, 'SHEEP': 0, 'WHEAT': 0.3888888888888889, 'ORE': 0.16666666666666666}",0.5555555555555556,156,20,19,22,19,104,91,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 3, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",3,3
2828,329,"[RandomPlayer:ORANGE, RandomPlayer:RED, Player:BLUE, RandomPlayer:WHITE]",0.3356869999900185,4874359.833835813,4,2,0,3,FALSE,FALSE,0,"{'WOOD': 0, 'BRICK': 0, 'SHEEP': 0, 'WHEAT': 0.4444444444444444, 'ORE': 0.6111111111111112}",1.0555555555555556,365,12,11,11,6,262,248,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,0
2829,218,"[RandomPlayer:RED, RandomPlayer:ORANGE, RandomPlayer:WHITE, Player:BLUE]",0.3355289999900227,4000228.652669786,3,1,1,3,FALSE,FALSE,0,"{'WOOD': 0, 'BRICK': 0, 'SHEEP': 0.027777777777777776, 'WHEAT': 0.2777777777777778, 'ORE': 0.5}",0.8055555555555556,141,10,11,12,5,87,76,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,1
2830,324,"[Player:BLUE, RandomPlayer:WHITE, RandomPlayer:ORANGE, RandomPlayer:RED]",0.3353059999900287,5133753.777967786,2,0,2,7,FALSE,FALSE,0,"{'WOOD': 0.2777777777777778, 'BRICK': 0.05555555555555555, 'SHEEP': 0.1111111111111111, 'WHEAT': 0, 'ORE': 0}",0.4444444444444445,133,10,22,22,10,91,81,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,0
2831,196,"[Player:BLUE, RandomPlayer:ORANGE, RandomPlayer:RED, RandomPlayer:WHITE]",0.335182,4459625.149256553,2,0,2,3,FALSE,FALSE,0,"{'WOOD': 0, 'BRICK': 0.1111111111111111, 'SHEEP': 0.2777777777777778, 'WHEAT': 0, 'ORE': 0}",0.3888888888888889,75,2,5,5,0,32,30,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,0
2832,484,"[RandomPlayer:WHITE, RandomPlayer:RED, RandomPlayer:ORANGE, Player:BLUE]",0.33483999999004116,7962706.118947169,4,0,4,15,FALSE,FALSE,0,"{'WOOD': 0.3055555555555555, 'BRICK': 0.2222222222222222, 'SHEEP': 0, 'WHEAT': 0.027777777777777776, 'ORE': 0}",0.5555555555555555,234,43,19,21,18,117,91,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 2, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 1}",3,3
2833,244,"[RandomPlayer:RED, RandomPlayer:WHITE, RandomPlayer:ORANGE, Player:BLUE]",0.3346879999900452,7528997.589047081,2,0,2,9,FALSE,FALSE,0,"{'WOOD': 0.1388888888888889, 'BRICK': 0.05555555555555555, 'SHEEP': 0.08333333333333333, 'WHEAT': 0.1388888888888889, 'ORE': 0}",0.4166666666666667,98,14,5,5,4,57,47,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,0
2834,168,"[RandomPlayer:RED, Player:BLUE, RandomPlayer:WHITE, RandomPlayer:ORANGE]",0.33456299999004857,6004639.217044922,5,2,0,4,FALSE,FALSE,1,"{'WOOD': 0.4444444444444444, 'BRICK': 0, 'SHEEP': 0, 'WHEAT': 0.2222222222222222, 'ORE': 0.3888888888888889}",1.0555555555555556,100,23,6,8,8,52,41,"{'KNIGHT': 0, 'VP': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,"{'KNIGHT': 2, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",2,3
2835,223,"[RandomPlayer:WHITE, RandomPlayer:ORANGE, Player:BLUE, RandomPlayer:RED]",0.33441499999005253,4536878.167579445,2,0,2,4,FALSE,FALSE,0,"{'WOOD': 0.05555555555555555, 'BRICK': 0, 'SHEEP': 0.2222222222222222, 'WHEAT': 0, 'ORE': 0}",0.2777777777777778,89,7,9,10,6,54,46,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,1
2836,285,"[RandomPlayer:ORANGE, RandomPlayer:WHITE, Player:BLUE, RandomPlayer:RED]",0.3342209999900577,5902598.044,2,0,2,8,FALSE,FALSE,0,"{'WOOD': 0.19444444444444445, 'BRICK': 0, 'SHEEP': 0, 'WHEAT': 0.05555555555555555, 'ORE': 0}",0.25,108,12,10,10,2,38,33,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,0
2837,293,"[RandomPlayer:ORANGE, RandomPlayer:RED, Player:BLUE, RandomPlayer:WHITE]",0.334023,6780853.7131162705,3,1,1,5,FALSE,FALSE,0,"{'WOOD': 0, 'BRICK': 0.16666666666666666, 'SHEEP': 0, 'WHEAT': 0.1111111111111111, 'ORE': 0.1388888888888889}",0.4166666666666667,147,14,12,13,6,97,85,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,1
2838,143,"[Player:BLUE, RandomPlayer:ORANGE, RandomPlayer:WHITE, RandomPlayer:RED]",0.33392799999006556,3328876.6179841696,2,0,2,3,FALSE,FALSE,0,"{'WOOD': 0, 'BRICK': 0.1111111111111111, 'SHEEP': 0, 'WHEAT': 0.16666666666666666, 'ORE': 0}",0.2777777777777778,49,8,5,7,4,21,15,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 2, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",2,2
2839,153,"[Player:BLUE, RandomPlayer:RED, RandomPlayer:WHITE, RandomPlayer:ORANGE]",0.3338189999900685,5071434.669191693,3,0,2,4,FALSE,FALSE,1,"{'WOOD': 0.1388888888888889, 'BRICK': 0, 'SHEEP': 0.25, 'WHEAT': 0.08333333333333333, 'ORE': 0}",0.4722222222222222,80,9,6,6,4,33,26,"{'KNIGHT': 0, 'VP': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,"{'KNIGHT': 0, 'MONOPOLY': 1, 'ROAD_BUILDING': 1, 'YEAR_OF_PLENTY': 0}",2,3
2840,260,"[Player:BLUE, RandomPlayer:RED, RandomPlayer:ORANGE, RandomPlayer:WHITE]",0.3336529999900729,5468014.416865705,3,0,2,3,FALSE,FALSE,1,"{'WOOD': 0, 'BRICK': 0.027777777777777776, 'SHEEP': 0, 'WHEAT': 0, 'ORE': 0.16666666666666666}",0.19444444444444442,65,14,9,11,10,33,27,"{'KNIGHT': 0, 'VP': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,"{'KNIGHT': 2, 'MONOPOLY': 1, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",3,4
2841,608,"[Player:BLUE, RandomPlayer:ORANGE, RandomPlayer:RED, RandomPlayer:WHITE]",0.3332569999900835,5284334.271546643,3,0,2,8,FALSE,FALSE,1,"{'WOOD': 0.16666666666666666, 'BRICK': 0, 'SHEEP': 0.027777777777777776, 'WHEAT': 0, 'ORE': 0.08333333333333333}",0.27777777777777773,155,15,28,28,8,69,42,"{'KNIGHT': 0, 'VP': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,"{'KNIGHT': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,1
2842,305,"[RandomPlayer:WHITE, RandomPlayer:ORANGE, Player:BLUE, RandomPlayer:RED]",0.3330369999900894,6995287.426680132,2,0,2,14,FALSE,FALSE,0,"{'WOOD': 0.1111111111111111, 'BRICK': 0.08333333333333333, 'SHEEP': 0.1388888888888889, 'WHEAT': 0, 'ORE': 0.1388888888888889}",0.4722222222222222,198,27,19,20,9,145,133,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,1
2843,223,"[Player:BLUE, RandomPlayer:RED, RandomPlayer:WHITE, RandomPlayer:ORANGE]",0.33288599999009344,5753948.586923763,2,0,2,5,FALSE,FALSE,0,"{'WOOD': 0.05555555555555555, 'BRICK': 0.027777777777777776, 'SHEEP': 0.1388888888888889, 'WHEAT': 0.1111111111111111, 'ORE': 0.05555555555555555}",0.38888888888888884,90,12,7,8,6,44,34,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 1}",2,2
2844,274,"[RandomPlayer:RED, RandomPlayer:ORANGE, Player:BLUE, RandomPlayer:WHITE]",0.33272099999009785,5746391.3904060135,3,0,2,3,FALSE,FALSE,1,"{'WOOD': 0, 'BRICK': 0.1388888888888889, 'SHEEP': 0.05555555555555555, 'WHEAT': 0.05555555555555555, 'ORE': 0.05555555555555555}",0.3055555555555556,79,14,6,8,7,44,29,"{'KNIGHT': 0, 'VP': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,"{'KNIGHT': 2, 'MONOPOLY': 1, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",3,4
2845,437,"[RandomPlayer:RED, Player:BLUE, RandomPlayer:ORANGE, RandomPlayer:WHITE]",0.3324459999901052,5312743.452,3,0,2,7,FALSE,FALSE,1,"{'WOOD': 0, 'BRICK': 0.027777777777777776, 'SHEEP': 0, 'WHEAT': 0.2222222222222222, 'ORE': 0}",0.25,139,16,20,21,6,90,73,"{'KNIGHT': 0, 'VP': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,"{'KNIGHT': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,2
2846,298,"[RandomPlayer:ORANGE, Player:BLUE, RandomPlayer:WHITE, RandomPlayer:RED]",0.3322479999901105,4587725.306147411,3,0,3,13,FALSE,FALSE,0,"{'WOOD': 0.3055555555555555, 'BRICK': 0.08333333333333333, 'SHEEP': 0.05555555555555555, 'WHEAT': 0, 'ORE': 0}",0.4444444444444444,120,26,15,15,4,60,50,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,0
2847,200,"[RandomPlayer:RED, Player:BLUE, RandomPlayer:WHITE, RandomPlayer:ORANGE]",0.3321219999901139,6578222.583031064,2,0,2,2,FALSE,FALSE,0,"{'WOOD': 0, 'BRICK': 0, 'SHEEP': 0.19444444444444445, 'WHEAT': 0, 'ORE': 0.1111111111111111}",0.3055555555555556,63,3,6,7,5,25,20,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,1
2848,369,"[RandomPlayer:WHITE, RandomPlayer:ORANGE, Player:BLUE, RandomPlayer:RED]",0.3318669999901207,5574141.681644455,6,2,0,14,TRUE,FALSE,0,"{'WOOD': 0.1111111111111111, 'BRICK': 0.1111111111111111, 'SHEEP': 0, 'WHEAT': 0.2222222222222222, 'ORE': 0.2777777777777778}",0.7222222222222222,250,37,14,15,9,171,160,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,1
2849,666,"[RandomPlayer:WHITE, Player:BLUE, RandomPlayer:ORANGE, RandomPlayer:RED]",0.33146099999013157,4474837.044631432,3,0,2,4,FALSE,FALSE,1,"{'WOOD': 0, 'BRICK': 0, 'SHEEP': 0.1388888888888889, 'WHEAT': 0, 'ORE': 0.1388888888888889}",0.2777777777777778,194,19,21,24,20,120,92,"{'KNIGHT': 0, 'VP': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,"{'KNIGHT': 3, 'MONOPOLY': 1, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",4,5
2850,239,"[RandomPlayer:ORANGE, RandomPlayer:WHITE, Player:BLUE, RandomPlayer:RED]",0.3313209999901353,7330132.999766323,3,0,2,2,FALSE,FALSE,1,"{'WOOD': 0, 'BRICK': 0, 'SHEEP': 0.19444444444444442, 'WHEAT': 0, 'ORE': 0.08333333333333333}",0.27777777777777773,60,6,8,8,7,27,19,"{'KNIGHT': 0, 'VP': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,"{'KNIGHT': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 1}",1,2
2851,526,"[RandomPlayer:RED, RandomPlayer:ORANGE, RandomPlayer:WHITE, Player:BLUE]",0.3309739999901446,6144282.980256271,3,0,3,11,FALSE,FALSE,0,"{'WOOD': 0, 'BRICK': 0.1388888888888889, 'SHEEP': 0.1111111111111111, 'WHEAT': 0, 'ORE': 0.2777777777777778}",0.5277777777777778,211,22,15,15,2,102,84,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,0
2852,229,"[RandomPlayer:ORANGE, Player:BLUE, RandomPlayer:WHITE, RandomPlayer:RED]",0.3308209999901487,5937063.283134511,3,0,2,5,FALSE,FALSE,1,"{'WOOD': 0, 'BRICK': 0.027777777777777776, 'SHEEP': 0.1111111111111111, 'WHEAT': 0.08333333333333333, 'ORE': 0.05555555555555555}",0.2777777777777778,80,23,6,10,8,46,41,"{'KNIGHT': 0, 'VP': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,"{'KNIGHT': 4, 'MONOPOLY': 0, 'ROAD_BUILDING': 1, 'YEAR_OF_PLENTY': 1}",6,7
2853,360,"[Player:BLUE, RandomPlayer:RED, RandomPlayer:WHITE, RandomPlayer:ORANGE]",0.3305879999901549,5932041.644,2,0,2,8,FALSE,FALSE,0,"{'WOOD': 0.19444444444444442, 'BRICK': 0.1111111111111111, 'SHEEP': 0, 'WHEAT': 0.08333333333333333, 'ORE': 0}",0.38888888888888884,145,11,15,15,12,110,95,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 1, 'YEAR_OF_PLENTY': 0}",1,1
2854,301,"[RandomPlayer:RED, RandomPlayer:WHITE, Player:BLUE, RandomPlayer:ORANGE]",0.33036599999016086,5157903.502599767,7,2,1,10,TRUE,FALSE,0,"{'WOOD': 0.1388888888888889, 'BRICK': 0.2222222222222222, 'SHEEP': 0, 'WHEAT': 0.19444444444444445, 'ORE': 0.2222222222222222}",0.7777777777777778,199,33,13,13,8,110,103,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 1, 'YEAR_OF_PLENTY': 0}",1,"{'KNIGHT': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,1
2855,376,"[Player:BLUE, RandomPlayer:WHITE, RandomPlayer:RED, RandomPlayer:ORANGE]",0.33011599999016755,5842761.621294922,2,0,2,9,FALSE,FALSE,0,"{'WOOD': 0, 'BRICK': 0.1388888888888889, 'SHEEP': 0.027777777777777776, 'WHEAT': 0, 'ORE': 0}",0.16666666666666669,121,19,10,12,12,54,45,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 2, 'MONOPOLY': 0, 'ROAD_BUILDING': 1, 'YEAR_OF_PLENTY': 0}",3,3
2856,171,"[RandomPlayer:RED, RandomPlayer:WHITE, RandomPlayer:ORANGE, Player:BLUE]",0.33001199999017033,6834773.552560659,2,0,2,3,FALSE,FALSE,0,"{'WOOD': 0.16666666666666666, 'BRICK': 0, 'SHEEP': 0.027777777777777776, 'WHEAT': 0, 'ORE': 0}",0.19444444444444442,44,2,7,7,2,22,20,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,0
2857,137,"[RandomPlayer:ORANGE, Player:BLUE, RandomPlayer:WHITE, RandomPlayer:RED]",0.3299169999901729,7891401.363664165,3,0,3,7,FALSE,FALSE,0,"{'WOOD': 0.1111111111111111, 'BRICK': 0.08333333333333333, 'SHEEP': 0.1388888888888889, 'WHEAT': 0.1388888888888889, 'ORE': 0}",0.4722222222222222,52,17,7,8,2,16,12,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,1
2858,209,"[RandomPlayer:ORANGE, Player:BLUE, RandomPlayer:WHITE, RandomPlayer:RED]",0.32976799999017686,5035619.889812291,4,0,3,9,FALSE,FALSE,1,"{'WOOD': 0.08333333333333333, 'BRICK': 0.1111111111111111, 'SHEEP': 0.027777777777777776, 'WHEAT': 0.2777777777777778, 'ORE': 0.19444444444444442}",0.6944444444444444,99,26,8,10,9,57,49,"{'KNIGHT': 0, 'VP': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,"{'KNIGHT': 2, 'MONOPOLY': 0, 'ROAD_BUILDING': 1, 'YEAR_OF_PLENTY': 0}",3,4
2859,417,"[RandomPlayer:WHITE, RandomPlayer:RED, Player:BLUE, RandomPlayer:ORANGE]",0.3294419999901856,5572681.410547923,6,0,5,15,FALSE,FALSE,1,"{'WOOD': 0.1388888888888889, 'BRICK': 0.6111111111111112, 'SHEEP': 0.2222222222222222, 'WHEAT': 0.1111111111111111, 'ORE': 0}",1.0833333333333333,317,41,20,20,17,156,125,"{'KNIGHT': 0, 'VP': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,"{'KNIGHT': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,1
2860,267,"[Player:BLUE, RandomPlayer:RED, RandomPlayer:ORANGE, RandomPlayer:WHITE]",0.3292649999901903,6913935.954327771,4,1,1,4,FALSE,FALSE,1,"{'WOOD': 0, 'BRICK': 0, 'SHEEP': 0.2222222222222222, 'WHEAT': 0.16666666666666666, 'ORE': 0.2777777777777778}",0.6666666666666666,91,20,15,17,6,60,51,"{'KNIGHT': 0, 'VP': 1, 'MONOPOLY': 1, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",2,"{'KNIGHT': 2, 'MONOPOLY': 0, 'ROAD_BUILDING': 1, 'YEAR_OF_PLENTY': 0}",3,5
2861,606,"[RandomPlayer:RED, RandomPlayer:ORANGE, Player:BLUE, RandomPlayer:WHITE]",0.32891199999019977,5256949.2093163505,3,0,2,6,FALSE,FALSE,1,"{'WOOD': 0, 'BRICK': 0.05555555555555555, 'SHEEP': 0.05555555555555555, 'WHEAT': 0, 'ORE': 0.08333333333333333}",0.19444444444444442,134,11,20,20,15,104,79,"{'KNIGHT': 0, 'VP': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,"{'KNIGHT': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,1
2862,381,"[RandomPlayer:ORANGE, RandomPlayer:RED, Player:BLUE, RandomPlayer:WHITE]",0.328641,4954224.283,5,0,3,8,FALSE,FALSE,2,"{'WOOD': 0.19444444444444442, 'BRICK': 0, 'SHEEP': 0.2777777777777778, 'WHEAT': 0, 'ORE': 0.027777777777777776}",0.5,201,31,17,20,13,127,111,"{'KNIGHT': 0, 'VP': 2, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",2,"{'KNIGHT': 3, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",3,5
2863,241,"[Player:BLUE, RandomPlayer:ORANGE, RandomPlayer:RED, RandomPlayer:WHITE]",0.3284739999902115,5674320.088656671,2,0,2,12,FALSE,FALSE,0,"{'WOOD': 0, 'BRICK': 0.16666666666666669, 'SHEEP': 0.1111111111111111, 'WHEAT': 0, 'ORE': 0.25}",0.5277777777777778,145,23,10,11,6,103,81,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,1
2864,496,"[RandomPlayer:WHITE, Player:BLUE, RandomPlayer:ORANGE, RandomPlayer:RED]",0.32816199999021983,6198905.492336958,2,0,2,15,FALSE,FALSE,0,"{'WOOD': 0.1388888888888889, 'BRICK': 0, 'SHEEP': 0.16666666666666666, 'WHEAT': 0, 'ORE': 0}",0.3055555555555556,157,26,22,22,4,97,74,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,0
2865,355,"[Player:BLUE, RandomPlayer:ORANGE, RandomPlayer:RED, RandomPlayer:WHITE]",0.3279269999902261,6549939.812213264,2,0,2,4,FALSE,FALSE,0,"{'WOOD': 0.027777777777777776, 'BRICK': 0, 'SHEEP': 0.2777777777777778, 'WHEAT': 0.05555555555555555, 'ORE': 0}",0.36111111111111116,124,13,16,19,4,79,62,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 3, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",3,3
2866,310,"[RandomPlayer:WHITE, RandomPlayer:ORANGE, Player:BLUE, RandomPlayer:RED]",0.3277099999902319,4370440.463629797,5,0,4,9,FALSE,FALSE,1,"{'WOOD': 0.16666666666666666, 'BRICK': 0.027777777777777776, 'SHEEP': 0.2222222222222222, 'WHEAT': 0.1111111111111111, 'ORE': 0.05555555555555555}",0.5833333333333333,161,40,12,15,14,93,81,"{'KNIGHT': 0, 'VP': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,"{'KNIGHT': 3, 'MONOPOLY': 1, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 1}",5,6
2867,628,"[RandomPlayer:WHITE, RandomPlayer:RED, RandomPlayer:ORANGE, Player:BLUE]",0.32724599999024434,6127183.241251978,6,1,4,15,FALSE,FALSE,0,"{'WOOD': 0.5277777777777777, 'BRICK': 0.5555555555555556, 'SHEEP': 0, 'WHEAT': 0.27777777777777773, 'ORE': 0.19444444444444448}",1.5555555555555554,455,52,22,25,3,263,232,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 3, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",3,3
