GameID,TurnCount,Epsilon,AverageLoss,end_points,cities,settlements,road,longest,largest,devvps,resource_production,total_resource_production,total_resources_gained,amount_of_resources_used,seven_robbers_moved,knights_and_robbers_moved,total_robber_gain,total_resources_lost,total_resources_discarded,dev_cards_held,dev_cards_held_total,dev_cards_used,dev_cards_used_total,dev_cards_bought_total
0,337,"[RandomPlayer:ORANGE, RandomPlayer:RED, RandomPlayer:WHITE, Player:BLUE]",0.9999459999999984,734184.664629901,10,2,5,15,False,False,1,"{'WOOD': 0.3333333333333333, 'BRICK': 0.5, 'SHEEP': 0.2222222222222222, 'WHEAT': 0.2777777777777778, 'ORE': 0.05555555555555555}",1.3888888888888886,320,72,11,15,12,101,81,"{'KNIGHT': 0, 'VP': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,"{'KNIGHT': 4, 'MONOPOLY': 0, 'ROAD_BUILDING': 1, 'YEAR_OF_PLENTY': 0}",5,6
1961,320,"[Player:BLUE, RandomPlayer:RED, RandomPlayer:WHITE, RandomPlayer:ORANGE]",0.5433819999868696,8683192.474516602,4,2,0,3,False,False,0,"{'WOOD': 0.16666666666666666, 'BRICK': 0, 'SHEEP': 0, 'WHEAT': 0.2222222222222222, 'ORE': 0.1111111111111111}",0.49999999999999994,102,21,9,12,2,53,43,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 3, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",3,3
1962,255,"[RandomPlayer:RED, Player:BLUE, RandomPlayer:ORANGE, RandomPlayer:WHITE]",0.5431829999868639,7540537.665372762,10,2,2,9,False,True,2,"{'WOOD': 0, 'BRICK': 0.4444444444444444, 'SHEEP': 0.3611111111111111, 'WHEAT': 0.4444444444444444, 'ORE': 0.1111111111111111}",1.3611111111111112,173,53,4,8,4,48,34,"{'KNIGHT': 0, 'VP': 2, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",2,"{'KNIGHT': 4, 'MONOPOLY': 1, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",5,7
1963,250,"[RandomPlayer:WHITE, RandomPlayer:RED, Player:BLUE, RandomPlayer:ORANGE]",0.5430399999868598,8554254.45473667,2,0,2,8,False,False,0,"{'WOOD': 0.027777777777777776, 'BRICK': 0.05555555555555555, 'SHEEP': 0, 'WHEAT': 0, 'ORE': 0}",0.08333333333333333,23,12,8,8,5,5,0,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,0
1964,175,"[RandomPlayer:ORANGE, RandomPlayer:WHITE, Player:BLUE, RandomPlayer:RED]",0.5429229999868564,7087874.630538028,2,0,2,5,False,False,0,"{'WOOD': 0.05555555555555555, 'BRICK': 0, 'SHEEP': 0, 'WHEAT': 0, 'ORE': 0}",0.05555555555555555,56,9,7,8,7,11,9,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,1
1965,713,"[RandomPlayer:RED, Player:BLUE, RandomPlayer:ORANGE, RandomPlayer:WHITE]",0.5424529999868429,7895113.437356632,7,1,1,11,False,True,2,"{'WOOD': 0.1111111111111111, 'BRICK': 0, 'SHEEP': 0.2222222222222222, 'WHEAT': 0.2777777777777778, 'ORE': 0.027777777777777776}",0.638888888888889,300,50,22,28,21,149,124,"{'KNIGHT': 0, 'VP': 2, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",2,"{'KNIGHT': 6, 'MONOPOLY': 1, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",7,9
1966,273,"[RandomPlayer:WHITE, RandomPlayer:RED, Player:BLUE, RandomPlayer:ORANGE]",0.5422579999868373,7288297.778192609,3,1,1,6,False,False,0,"{'WOOD': 0.5555555555555556, 'BRICK': 0, 'SHEEP': 0, 'WHEAT': 0, 'ORE': 0.2777777777777778}",0.8333333333333334,209,13,8,8,7,116,108,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,0
1967,230,"[RandomPlayer:ORANGE, RandomPlayer:RED, Player:BLUE, RandomPlayer:WHITE]",0.5421019999868328,7848088.107140174,3,0,2,7,False,False,1,"{'WOOD': 0.25, 'BRICK': 0, 'SHEEP': 0, 'WHEAT': 0.2222222222222222, 'ORE': 0}",0.4722222222222222,93,16,12,13,3,39,31,"{'KNIGHT': 0, 'VP': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,"{'KNIGHT': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,2
1968,361,"[RandomPlayer:WHITE, Player:BLUE, RandomPlayer:ORANGE, RandomPlayer:RED]",0.5418499999868256,7675697.724157909,7,0,2,7,False,False,5,"{'WOOD': 0.05555555555555555, 'BRICK': 0, 'SHEEP': 0.3055555555555556, 'WHEAT': 0.1111111111111111, 'ORE': 0.05555555555555555}",0.5277777777777778,199,37,15,19,16,113,94,"{'KNIGHT': 0, 'VP': 5, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",5,"{'KNIGHT': 4, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",4,9
1969,201,"[Player:BLUE, RandomPlayer:WHITE, RandomPlayer:ORANGE, RandomPlayer:RED]",0.5417139999868217,6966213.773897059,2,0,2,4,False,False,0,"{'WOOD': 0.08333333333333333, 'BRICK': 0, 'SHEEP': 0.2222222222222222, 'WHEAT': 0.1111111111111111, 'ORE': 0.05555555555555555}",0.4722222222222222,88,13,10,11,7,42,33,"{'KNIGHT': 1, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,"{'KNIGHT': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 1}",2,3
1970,467,"[RandomPlayer:ORANGE, RandomPlayer:RED, RandomPlayer:WHITE, Player:BLUE]",0.5413999999868127,6790243.613763311,5,0,5,15,False,False,0,"{'WOOD': 0.6111111111111112, 'BRICK': 0.08333333333333333, 'SHEEP': 0, 'WHEAT': 0.16666666666666669, 'ORE': 0}",0.8611111111111112,250,41,15,16,11,145,117,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,1
1971,274,"[RandomPlayer:ORANGE, Player:BLUE, RandomPlayer:RED, RandomPlayer:WHITE]",0.5412239999868076,8077264.954256925,2,0,2,9,False,False,0,"{'WOOD': 0.2777777777777778, 'BRICK': 0.05555555555555555, 'SHEEP': 0, 'WHEAT': 0, 'ORE': 0}",0.33333333333333337,83,14,10,10,8,30,22,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,0
1972,367,"[RandomPlayer:WHITE, RandomPlayer:ORANGE, RandomPlayer:RED, Player:BLUE]",0.540995999986801,6235599.553571735,3,0,2,7,False,False,1,"{'WOOD': 0, 'BRICK': 0, 'SHEEP': 0, 'WHEAT': 0.08333333333333333, 'ORE': 0.08333333333333333}",0.16666666666666666,85,19,12,13,10,28,12,"{'KNIGHT': 0, 'VP': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,"{'KNIGHT': 1, 'MONOPOLY': 1, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",2,3
1973,819,"[Player:BLUE, RandomPlayer:ORANGE, RandomPlayer:WHITE, RandomPlayer:RED]",0.5403839999867834,8192774.874799342,9,2,0,6,False,True,3,"{'WOOD': 0, 'BRICK': 0, 'SHEEP': 0.6666666666666666, 'WHEAT': 0.1111111111111111, 'ORE': 0.2222222222222222}",0.9999999999999999,638,53,36,44,43,393,370,"{'KNIGHT': 0, 'VP': 3, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",3,"{'KNIGHT': 8, 'MONOPOLY': 1, 'ROAD_BUILDING': 1, 'YEAR_OF_PLENTY': 0}",10,13
1974,289,"[RandomPlayer:WHITE, Player:BLUE, RandomPlayer:ORANGE, RandomPlayer:RED]",0.540193999986778,7482688.861068565,3,0,2,8,False,False,1,"{'WOOD': 0, 'BRICK': 0.05555555555555555, 'SHEEP': 0, 'WHEAT': 0.08333333333333333, 'ORE': 0}",0.1388888888888889,82,21,11,12,8,16,4,"{'KNIGHT': 0, 'VP': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,"{'KNIGHT': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 1}",2,3
1975,175,"[RandomPlayer:ORANGE, RandomPlayer:WHITE, RandomPlayer:RED, Player:BLUE]",0.5400669999867743,5908475.205743264,3,0,3,9,False,False,0,"{'WOOD': 0.08333333333333333, 'BRICK': 0.2222222222222222, 'SHEEP': 0, 'WHEAT': 0.16666666666666666, 'ORE': 0.25}",0.7222222222222222,59,21,7,8,3,9,8,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,1
1976,201,"[Player:BLUE, RandomPlayer:WHITE, RandomPlayer:RED, RandomPlayer:ORANGE]",0.5399339999867705,6236181.112117452,2,0,2,15,False,False,0,"{'WOOD': 0.2222222222222222, 'BRICK': 0.1388888888888889, 'SHEEP': 0, 'WHEAT': 0, 'ORE': 0.05555555555555555}",0.41666666666666663,80,26,9,9,5,43,32,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,0
1977,327,"[RandomPlayer:ORANGE, Player:BLUE, RandomPlayer:WHITE, RandomPlayer:RED]",0.5397029999867639,7181184.360395952,10,2,4,15,True,False,0,"{'WOOD': 0.25, 'BRICK': 0.1388888888888889, 'SHEEP': 0.2777777777777778, 'WHEAT': 0.6388888888888888, 'ORE': 0.1111111111111111}",1.4166666666666667,193,55,12,13,4,79,65,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,1
1978,105,"[Player:BLUE, RandomPlayer:WHITE, RandomPlayer:ORANGE, RandomPlayer:RED]",0.5396259999867616,8191364.574294846,2,0,2,4,False,False,0,"{'WOOD': 0, 'BRICK': 0.1388888888888889, 'SHEEP': 0, 'WHEAT': 0.1111111111111111, 'ORE': 0}",0.25,34,10,5,7,3,3,0,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 2, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",2,2
1979,366,"[Player:BLUE, RandomPlayer:WHITE, RandomPlayer:ORANGE, RandomPlayer:RED]",0.5393409999867534,6926040.860310444,10,1,4,15,True,True,0,"{'WOOD': 0.19444444444444445, 'BRICK': 0.2222222222222222, 'SHEEP': 0.3888888888888889, 'WHEAT': 0.1111111111111111, 'ORE': 0.08333333333333333}",1.0,231,57,17,22,8,93,72,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 5, 'MONOPOLY': 0, 'ROAD_BUILDING': 1, 'YEAR_OF_PLENTY': 0}",6,6
1980,400,"[RandomPlayer:WHITE, RandomPlayer:ORANGE, RandomPlayer:RED, Player:BLUE]",0.5390409999867448,7237302.718409831,6,0,4,13,False,True,0,"{'WOOD': 0.05555555555555555, 'BRICK': 0.05555555555555555, 'SHEEP': 0.38888888888888895, 'WHEAT': 0.1388888888888889, 'ORE': 0.05555555555555555}",0.6944444444444444,208,45,19,24,16,86,64,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 5, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",5,5
1981,171,"[Player:BLUE, RandomPlayer:WHITE, RandomPlayer:ORANGE, RandomPlayer:RED]",0.5389239999867415,10455713.591717582,2,0,2,2,False,False,0,"{'WOOD': 0, 'BRICK': 0, 'SHEEP': 0, 'WHEAT': 0.16666666666666666, 'ORE': 0.05555555555555555}",0.2222222222222222,47,9,6,9,6,7,0,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 3, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",3,3
1982,451,"[RandomPlayer:RED, RandomPlayer:ORANGE, Player:BLUE, RandomPlayer:WHITE]",0.5386229999867328,8001947.862176534,2,0,2,11,False,False,0,"{'WOOD': 0.19444444444444445, 'BRICK': 0, 'SHEEP': 0.1388888888888889, 'WHEAT': 0, 'ORE': 0.027777777777777776}",0.36111111111111116,171,20,16,17,12,64,51,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 1, 'YEAR_OF_PLENTY': 0}",2,2
1983,206,"[RandomPlayer:RED, Player:BLUE, RandomPlayer:ORANGE, RandomPlayer:WHITE]",0.5384869999867289,8125484.396750057,3,0,2,5,False,False,1,"{'WOOD': 0.1111111111111111, 'BRICK': 0, 'SHEEP': 0.1388888888888889, 'WHEAT': 0.1388888888888889, 'ORE': 0}",0.3888888888888889,79,15,9,10,6,35,26,"{'KNIGHT': 1, 'VP': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",2,"{'KNIGHT': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,3
1984,310,"[RandomPlayer:RED, RandomPlayer:ORANGE, RandomPlayer:WHITE, Player:BLUE]",0.5382709999867227,8585312.482408311,3,0,3,12,False,False,0,"{'WOOD': 0.1111111111111111, 'BRICK': 0, 'SHEEP': 0.3055555555555556, 'WHEAT': 0, 'ORE': 0.05555555555555555}",0.4722222222222222,117,29,15,17,14,46,33,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 2, 'MONOPOLY': 0, 'ROAD_BUILDING': 1, 'YEAR_OF_PLENTY': 0}",3,3
1985,303,"[Player:BLUE, RandomPlayer:WHITE, RandomPlayer:RED, RandomPlayer:ORANGE]",0.5380589999867166,7822204.846039394,2,0,2,15,False,False,0,"{'WOOD': 0.1111111111111111, 'BRICK': 0.2777777777777778, 'SHEEP': 0, 'WHEAT': 0, 'ORE': 0.1111111111111111}",0.5,150,32,10,11,10,77,62,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 1, 'MONOPOLY': 1, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",2,2
1986,274,"[RandomPlayer:WHITE, RandomPlayer:RED, RandomPlayer:ORANGE, Player:BLUE]",0.5378559999867107,7779178.011687481,7,0,3,9,False,True,2,"{'WOOD': 0.2222222222222222, 'BRICK': 0.16666666666666666, 'SHEEP': 0.16666666666666666, 'WHEAT': 0.1388888888888889, 'ORE': 0.05555555555555555}",0.75,139,33,14,17,14,53,44,"{'KNIGHT': 0, 'VP': 2, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",2,"{'KNIGHT': 3, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",3,5
1987,291,"[RandomPlayer:WHITE, RandomPlayer:RED, Player:BLUE, RandomPlayer:ORANGE]",0.5376439999867046,6518545.115119214,6,0,4,15,True,False,0,"{'WOOD': 0.08333333333333333, 'BRICK': 0.3888888888888889, 'SHEEP': 0.1111111111111111, 'WHEAT': 0, 'ORE': 0.1111111111111111}",0.6944444444444444,152,40,16,18,16,59,40,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 2, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",2,2
1988,357,"[RandomPlayer:RED, RandomPlayer:WHITE, Player:BLUE, RandomPlayer:ORANGE]",0.5373839999866972,8197789.795179161,7,0,3,15,True,False,2,"{'WOOD': 0.2777777777777778, 'BRICK': 0.16666666666666669, 'SHEEP': 0, 'WHEAT': 0, 'ORE': 0.1388888888888889}",0.5833333333333334,188,39,17,18,16,89,64,"{'KNIGHT': 0, 'VP': 2, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",2,"{'KNIGHT': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,3
1989,295,"[RandomPlayer:WHITE, RandomPlayer:ORANGE, Player:BLUE, RandomPlayer:RED]",0.5371769999866912,9343008.522378378,2,0,2,11,False,False,0,"{'WOOD': 0, 'BRICK': 0.16666666666666666, 'SHEEP': 0.1111111111111111, 'WHEAT': 0.1388888888888889, 'ORE': 0}",0.4166666666666667,111,23,15,16,12,63,46,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 1, 'MONOPOLY': 1, 'ROAD_BUILDING': 1, 'YEAR_OF_PLENTY': 0}",3,3
1990,358,"[RandomPlayer:RED, RandomPlayer:ORANGE, RandomPlayer:WHITE, Player:BLUE]",0.5369469999866846,8584017.197898267,4,0,2,6,False,False,2,"{'WOOD': 0, 'BRICK': 0.19444444444444442, 'SHEEP': 0, 'WHEAT': 0.1111111111111111, 'ORE': 0.027777777777777776}",0.3333333333333333,127,14,17,17,15,57,44,"{'KNIGHT': 0, 'VP': 2, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",2,"{'KNIGHT': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,2
1991,301,"[Player:BLUE, RandomPlayer:RED, RandomPlayer:WHITE, RandomPlayer:ORANGE]",0.536753999986679,6138150.8456651755,2,0,2,9,False,False,0,"{'WOOD': 0.1388888888888889, 'BRICK': 0, 'SHEEP': 0.1111111111111111, 'WHEAT': 0, 'ORE': 0}",0.25,81,14,11,11,7,35,21,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,0
1992,344,"[RandomPlayer:WHITE, RandomPlayer:RED, RandomPlayer:ORANGE, Player:BLUE]",0.5365279999866726,5592996.8069258155,2,0,2,6,False,False,0,"{'WOOD': 0.08333333333333333, 'BRICK': 0, 'SHEEP': 0.08333333333333333, 'WHEAT': 0.16666666666666666, 'ORE': 0.027777777777777776}",0.3611111111111111,127,19,14,17,5,77,68,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 3, 'MONOPOLY': 1, 'ROAD_BUILDING': 1, 'YEAR_OF_PLENTY': 0}",5,5
1993,300,"[RandomPlayer:RED, Player:BLUE, RandomPlayer:WHITE, RandomPlayer:ORANGE]",0.5363049999866661,7965706.069979681,3,1,1,6,False,False,0,"{'WOOD': 0, 'BRICK': 0, 'SHEEP': 0.1111111111111111, 'WHEAT': 0.027777777777777776, 'ORE': 0.4444444444444444}",0.5833333333333333,121,31,15,20,12,25,18,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 5, 'MONOPOLY': 1, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",6,6
1994,423,"[RandomPlayer:RED, RandomPlayer:WHITE, Player:BLUE, RandomPlayer:ORANGE]",0.536021999986658,8648227.857858395,3,0,2,10,False,False,1,"{'WOOD': 0.1388888888888889, 'BRICK': 0, 'SHEEP': 0.1111111111111111, 'WHEAT': 0.08333333333333333, 'ORE': 0}",0.3333333333333333,145,24,13,15,3,45,27,"{'KNIGHT': 0, 'VP': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,"{'KNIGHT': 2, 'MONOPOLY': 0, 'ROAD_BUILDING': 1, 'YEAR_OF_PLENTY': 0}",3,4
1995,328,"[RandomPlayer:WHITE, Player:BLUE, RandomPlayer:ORANGE, RandomPlayer:RED]",0.5358019999866517,9150457.9640625,4,0,2,11,True,False,0,"{'WOOD': 0.1388888888888889, 'BRICK': 0.2777777777777778, 'SHEEP': 0, 'WHEAT': 0, 'ORE': 0}",0.4166666666666667,154,18,12,12,11,97,90,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,0
1996,356,"[RandomPlayer:ORANGE, RandomPlayer:RED, RandomPlayer:WHITE, Player:BLUE]",0.5355469999866443,7275989.320107614,6,0,2,8,False,True,2,"{'WOOD': 0.1388888888888889, 'BRICK': 0, 'SHEEP': 0.19444444444444445, 'WHEAT': 0.08333333333333333, 'ORE': 0.1388888888888889}",0.5555555555555556,202,41,12,18,9,107,84,"{'KNIGHT': 0, 'VP': 2, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",2,"{'KNIGHT': 6, 'MONOPOLY': 1, 'ROAD_BUILDING': 1, 'YEAR_OF_PLENTY': 1}",9,11
1997,595,"[RandomPlayer:WHITE, RandomPlayer:ORANGE, RandomPlayer:RED, Player:BLUE]",0.535188999986634,7606419.230461931,3,1,1,7,False,False,0,"{'WOOD': 0.1388888888888889, 'BRICK': 0, 'SHEEP': 0, 'WHEAT': 0, 'ORE': 0.1111111111111111}",0.25,143,18,19,19,17,53,46,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 0, 'MONOPOLY': 1, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,1
1998,251,"[RandomPlayer:ORANGE, RandomPlayer:WHITE, RandomPlayer:RED, Player:BLUE]",0.5350289999866294,7156747.153674317,2,0,2,2,False,False,0,"{'WOOD': 0, 'BRICK': 0.1111111111111111, 'SHEEP': 0, 'WHEAT': 0.16666666666666666, 'ORE': 0}",0.2777777777777778,79,6,12,14,9,52,39,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 2, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",2,2
1999,273,"[Player:BLUE, RandomPlayer:WHITE, RandomPlayer:ORANGE, RandomPlayer:RED]",0.5348449999866242,6869106.99384341,2,0,2,7,False,False,0,"{'WOOD': 0, 'BRICK': 0.2777777777777778, 'SHEEP': 0, 'WHEAT': 0.1388888888888889, 'ORE': 0}",0.4166666666666667,129,13,11,11,8,62,52,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 0, 'MONOPOLY': 1, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,1
2000,330,"[RandomPlayer:ORANGE, Player:BLUE, RandomPlayer:WHITE, RandomPlayer:RED]",0.5345809999866166,5536702.6889851885,4,0,3,14,False,False,1,"{'WOOD': 0.027777777777777776, 'BRICK': 0, 'SHEEP': 0, 'WHEAT': 0.5555555555555556, 'ORE': 0}",0.5833333333333334,176,33,16,17,15,61,57,"{'KNIGHT': 0, 'VP': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,"{'KNIGHT': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 1, 'YEAR_OF_PLENTY': 0}",2,3
2001,319,"[RandomPlayer:ORANGE, RandomPlayer:WHITE, Player:BLUE, RandomPlayer:RED]",0.5343729999866106,7971403.983128474,3,0,2,15,False,False,1,"{'WOOD': 0.19444444444444442, 'BRICK': 0.08333333333333333, 'SHEEP': 0.05555555555555555, 'WHEAT': 0, 'ORE': 0.05555555555555555}",0.38888888888888884,126,29,13,13,11,66,54,"{'KNIGHT': 0, 'VP': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,"{'KNIGHT': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,1
2002,340,"[Player:BLUE, RandomPlayer:ORANGE, RandomPlayer:WHITE, RandomPlayer:RED]",0.5341459999866041,8520817.876398163,2,0,2,15,False,False,0,"{'WOOD': 0.1388888888888889, 'BRICK': 0, 'SHEEP': 0.05555555555555555, 'WHEAT': 0, 'ORE': 0.1388888888888889}",0.33333333333333337,156,29,14,15,13,89,72,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,1
